view,target,model,n,y_std,r2_kfold,r2_groupkfold
FACEON,DirectionAngle_signed,rf,613,5.131,0.385,-0.311
FACEON,DirectionAngle_signed,hgb,613,5.131,0.302,-0.501
FACEON,DirectionAngle_abs,rf,613,3.381,0.192,-0.492
FACEON,DirectionAngle_abs,hgb,613,3.381,0.056,-0.834
FACEON,DirectionAngle_sqrtabs,rf,613,0.845,0.178,-0.211
FACEON,DirectionAngle_sqrtabs,hgb,613,0.845,0.034,-0.356
FACEON,SpinSide_signed,rf,613,865.26,0.253,-0.311
FACEON,SpinSide_signed,hgb,613,865.26,0.131,-0.607
FACEON,SpinSide_abs,rf,613,613.329,0.197,-0.374
FACEON,SpinSide_abs,hgb,613,613.329,0.062,-0.636
FACEON,SpinSide_sqrtabs,rf,613,11.577,0.236,-0.313
FACEON,SpinSide_sqrtabs,hgb,613,11.577,0.173,-0.515
DTL,DirectionAngle_signed,rf,524,5.015,0.354,-0.245
DTL,DirectionAngle_signed,hgb,524,5.015,0.303,-0.359
DTL,DirectionAngle_abs,rf,524,3.374,0.337,-0.507
DTL,DirectionAngle_abs,hgb,524,3.374,0.278,-0.547
DTL,DirectionAngle_sqrtabs,rf,524,0.835,0.271,-0.105
DTL,DirectionAngle_sqrtabs,hgb,524,0.835,0.208,-0.636
DTL,SpinSide_signed,rf,524,741.101,0.084,-0.188
DTL,SpinSide_signed,hgb,524,741.101,-0.026,-0.355
DTL,SpinSide_abs,rf,524,557.46,0.128,-0.32
DTL,SpinSide_abs,hgb,524,557.46,-0.058,-0.704
DTL,SpinSide_sqrtabs,rf,524,10.815,0.134,-0.262
DTL,SpinSide_sqrtabs,hgb,524,10.815,0.008,-0.529
