feature,phase,family,cohens_d,abs_d,r_pb,r_cont_est,r_pearson,p_pearson,rho_spearman,p_spearman,p_ttest,view,target,q_fdr_pearson,q_fdr_ttest,sig_fdr_05
0-SHOULDER-ANGLE,0,SHOULDER-ANGLE,0.05039126514591837,0.05039126514591837,0.025282152601246517,0.031686627506972626,0.002236531659599558,0.9559305564038009,-0.03748764024984611,0.3541437786082119,0.6925655382295315,FACEON,Distance,0.9635780008550313,0.7861554758281168,0
0-STANCE-RATIO,0,STANCE-RATIO,-0.19224399947326662,0.19224399947326662,-0.09616214656278123,-0.12052194156345389,-0.0273842963468012,0.4985668765602911,-0.07633463784981177,0.05891113217992086,0.1320841261741319,FACEON,Distance,0.6640000031692949,0.22798082051973453,0
0-UPPER-TILT,0,UPPER-TILT,0.5377109439036987,0.5377109439036987,0.26055048458338514,0.3265531334285153,0.12847173423862732,0.0014349024737120406,0.17311451518550106,1.632930057188274e-05,3.408849429092927e-05,FACEON,Distance,0.0045199427921929275,0.00013855323485990607,1
1-HEAD-LOC,1,HEAD-LOC,0.03422929142707908,0.03422929142707908,0.017147160186348414,0.021490878810707943,-0.010991116567001403,0.7859449526655162,-0.22474295781463957,1.853651053651016e-08,0.7888160309866862,FACEON,Distance,0.8700637460628831,0.8786933117948973,0
1-HIP-ROTATION,1,HIP-ROTATION,-0.033736498509976516,0.033736498509976516,-0.016911929694855027,-0.021196059731027773,-0.009149828345601237,0.8211380658102853,-0.12547415266018547,0.001854706901327407,0.7915213562596892,FACEON,Distance,0.8880978222497505,0.8786933117948973,0
1-HIP-SHIFTED,1,HIP-SHIFTED,-0.379150720691856,0.379150720691856,-0.1867903492232605,-0.23410808055335322,-0.024830160050669535,0.5398082630340195,-0.010764443040932924,0.790423362867529,0.0032994477898074105,FACEON,Distance,0.7048273693501188,0.008845328117356038,0
1-LEFT-ARM-ANGLE,1,LEFT-ARM-ANGLE,0.6447644003233918,0.6447644003233918,0.30825865228738114,0.3863467341918525,0.21625991573980427,6.389833776464064e-08,0.3416663951647653,3.166668331013949e-18,9.210132040305988e-07,FACEON,Distance,5.552545212651531e-07,5.526079224183593e-06,1
1-RIGHT-ARM-ANGLE,1,RIGHT-ARM-ANGLE,0.028354914745906765,0.028354914745906765,0.014241659468262368,0.017849356649707507,-0.004285628407624937,0.9156687644900215,-0.045784417799919985,0.2576979942771788,0.8237816231108017,FACEON,Distance,0.9418307291897364,0.8994996252193854,0
1-SHOULDER-LOC,1,SHOULDER-LOC,0.502912273584493,0.502912273584493,0.245205855756172,0.30732140322146456,0.1711819413315197,2.0661907731133353e-05,0.08009201336098827,0.04764751298255426,0.00011956798639466853,FACEON,Distance,8.67800124707601e-05,0.00040174843428608626,1
2-HEAD-LOC,2,HEAD-LOC,0.026153532767233006,0.026153532767233006,0.013102789340202202,0.016421987940411706,-0.02710229430328852,0.5030014124036668,-0.192916969230563,1.494840604523796e-06,0.8378228255555106,FACEON,Distance,0.6640000031692949,0.8994996252193854,0
2-HIP-ROTATION,2,HIP-ROTATION,-0.6440501398881789,0.6440501398881789,-0.308116196062055,-0.3861681909554773,-0.2704207408868171,9.834901698516014e-12,-0.1736252041744094,1.5402045171293778e-05,1.1821567134387953e-06,FACEON,Distance,1.7702823057328826e-10,6.620077595257255e-06,1
2-HIP-SHIFTED,2,HIP-SHIFTED,-0.2668675974394756,0.2668675974394756,-0.13268596856620632,-0.16629797816946826,-0.02450706358531278,0.5454274737277807,0.004550437138504859,0.9106253118894087,0.037970108336385505,FACEON,Distance,0.708493419481447,0.08178177180144569,0
2-LEFT-ARM-ANGLE,2,LEFT-ARM-ANGLE,1.1884997622920892,1.1884997622920892,0.5123980907729803,0.6421987753055038,0.39259808453173983,5.475615039662082e-24,0.5316779563938648,5.9408011050398314e-46,1.0655576030299787e-16,FACEON,Distance,1.3798549899948447e-21,2.6852051596355464e-15,1
2-SHOULDER-LOC,2,SHOULDER-LOC,0.6255402418630336,0.6255402418630336,0.30012635676421495,0.3761543655639342,0.19264317833569994,1.609895547839628e-06,0.08943958272154463,0.02705595751354148,2.467085996316038e-06,FACEON,Distance,1.0142341951389658e-05,1.2952201480659199e-05,1
2-UPPER-TILT,2,UPPER-TILT,0.5238589479934892,0.5238589479934892,0.2543784307566969,0.31881757492430735,0.1514383032163035,0.00016754492440761734,0.14179810042758376,0.0004292767570704518,5.253345781047609e-05,FACEON,Distance,0.0006209017786870525,0.00019758852788417873,1
3-HEAD-LOC,3,HEAD-LOC,0.19025401850988763,0.19025401850988763,0.09489622201423617,0.11893533300783185,0.0612978485109431,0.1298358579472613,0.1330141455808946,0.0009719284970054736,0.1381841128885548,FACEON,Distance,0.24600478347902138,0.23688705066609397,0
3-HIP-ROTATION,3,HIP-ROTATION,-0.06056324955974014,0.06056324955974014,-0.030402228493879406,-0.03810372102650504,-0.044587463566909305,0.27036223920670555,0.022169077899555013,0.5838102797298867,0.6344480798478711,FACEON,Distance,0.41543466024445,0.7367784153072051,0
3-HIP-SHIFTED,3,HIP-SHIFTED,0.639317037410228,0.639317037410228,0.30554654412659726,0.3829475947908372,0.008314367929236583,0.8380210400600445,0.2491507966319621,4.840693316411496e-10,1.035704629649804e-06,FACEON,Distance,0.9017193717854628,6.069710852831409e-06,0
3-RIGHT-LEG-ANGLE,3,RIGHT-LEG-ANGLE,-0.607461007462689,0.607461007462689,-0.29150524537384376,-0.36534935423316084,-0.16787104997110058,2.9474431346076234e-05,-0.17032533755301466,2.240521774323444e-05,3.3967071181983647e-06,FACEON,Distance,0.00012176322457723297,1.711940387571976e-05,1
3-SHOULDER-LOC,3,SHOULDER-LOC,-0.04507495307936984,0.04507495307936984,-0.022623862629552863,-0.028354939518726537,0.011412613510247707,0.7784789508022704,0.012630088809825862,0.7555628567589024,0.7242381654443791,FACEON,Distance,0.8700637460628831,0.8147679361249266,0
4-HEAD-LOC,4,HEAD-LOC,0.5298085625464672,0.5298085625464672,0.2569917011684504,0.32209283899767355,0.05806370833321228,0.151040122868906,0.21343485486126543,9.543427783029618e-08,4.3823254890854446e-05,FACEON,Distance,0.27095160801229407,0.00016732515503780788,0
4-HIP-HANGING-BACK,4,HIP-HANGING-BACK,-0.02529119803243079,0.02529119803243079,-0.012672452076884114,-0.015882637641400462,-0.035021157741202444,0.38672113661591373,-0.3393540177706426,5.493048308777569e-18,0.8430591634531921,FACEON,Distance,0.5505860250124873,0.8994996252193854,0
4-HIP-ROTATION,4,HIP-ROTATION,-0.20301715637198753,0.20301715637198753,-0.10148570629225574,-0.1271940654454473,-0.04712164924374334,0.2440420101512617,-0.10774527878297177,0.007585590852488913,0.1118537982434969,FACEON,Distance,0.3843661659882372,0.19990891600965402,0
4-HIP-SHIFTED,4,HIP-SHIFTED,1.3614954000721715,1.3614954000721715,0.5645408146794526,0.7075502940500685,0.01584641735351706,0.6956184871420965,0.40878874912805296,4.716747160410852e-26,4.923177483448818e-22,FACEON,Distance,0.8131290753460553,3.101601814572756e-20,0
4-RIGHT-ARMPIT-ANGLE,4,RIGHT-ARMPIT-ANGLE,-0.27236092805689294,0.27236092805689294,-0.13545311990946574,-0.16976610429196293,-0.12118134891914803,0.002653473042011812,-0.13701055568023496,0.0006705363206159959,0.03335810065950025,FACEON,Distance,0.008056327790204538,0.07309775101038316,1
4-SHOULDER-HANGING-BACK,4,SHOULDER-HANGING-BACK,-0.0779910400161475,0.0779910400161475,-0.03909654853728998,-0.04900048622633118,-0.0010561887641409584,0.9791802581626002,-0.24319212335526544,1.0561379773095865e-09,0.5408958263194179,FACEON,Distance,0.9791802581626002,0.676461210556812,0
5-HEAD-LOC,5,HEAD-LOC,0.48174401037552367,0.48174401037552367,0.23494565501300377,0.2944620884224745,0.07348929588395896,0.07040472863966885,0.17129344032833108,2.2063091715467708e-05,0.00021095288448001704,FACEON,Distance,0.1442438342861508,0.0006815400883200551,0
5-HIP-HANGING-BACK,5,HIP-HANGING-BACK,-0.1182965749064005,0.1182965749064005,-0.059285739563618094,-0.07430400313045872,-0.07561014180035135,0.06200295973723926,-0.35207793596847564,3.0600140954556565e-19,0.3548898479417889,FACEON,Distance,0.13130038532591842,0.4913859433040154,0
5-HIP-SHIFTED,5,HIP-SHIFTED,1.1316813081310217,1.1316813081310217,0.49384025739737103,0.6189398715727417,0.010095005811504975,0.803656040992187,0.4188265348815528,2.8986056668638065e-27,2.208965131091371e-16,FACEON,Distance,0.8757606439049813,5.060538300318414e-15,0
5-LEFT-ARM-ANGLE,5,LEFT-ARM-ANGLE,-0.06326345474496589,0.06326345474496589,-0.03174509335665009,-0.03978676041677907,-0.05433103425193426,0.18020790803509307,-0.06393656428902408,0.11468236171753338,0.6202535662916078,FACEON,Distance,0.31104378647153047,0.7303920500256316,0
5-RIGHT-ARM-ANGLE,5,RIGHT-ARM-ANGLE,0.25703215855401473,0.25703215855401473,0.12798055793199342,0.16040059291176276,0.0876187467873022,0.03048373691575254,0.15502291681185804,0.00012094952740300238,0.04493902167611719,FACEON,Distance,0.07247077078084567,0.09437194551984611,0
5-SHOULDER-ANGLE,5,SHOULDER-ANGLE,-0.39326960267985944,0.39326960267985944,-0.19369971249140647,-0.242767723726985,-0.11414255430941186,0.004798824444939511,-0.18208733131007154,6.1210630461800704e-06,0.002301138288353176,FACEON,Distance,0.013742088183235872,0.006303117920271742,1
